Ata 4D,Resumen
2566A,SURVIVAL KIT
2567,MEDICAL KIT
2568,LIFE VEST
2570,ACCESSORY COMPARTMENTS
2600,FIRE PROTECTION
2610,SMOKE DET
2612,ENGINE FIRE LOOP
2613,APU FIRE LOOP
2615,SMOKE DET AVNS
2616,SMOKE DET CARGO
2617,SMOKE DET LAV
2620,EXTINGUISHING
2621,ENGINE FIRE EXT
2622,APU FIRE EXT
2623,CARGO FIRE EXT
2624,HALLON EXT
2625,LAVATORY FIRE EXT
2700,FLIGHT CONTROLS
2710,FLIGHT CONTROLS
2714,F/CTL AILSERVO
2720,VIBRATION
2721,RUDDER MECHANICAL CONTROL
2722,RUDDER TRIM ACTUATION
2723,ARTIFICIAL FEEL & RUDDER TRAVEL LIMITING
2724,RUDDER HYDRAULIC ACTUATION
2725,RUDDER POSITION INDICATING
2726,YAW DAMPER ACTUATION
2730,ELEVATOR
2734,F/CTL ELEV SERVO
2740,TRIMMABLE HORIZONTAL STABILIZER (THS)
2741,THS MECHANICAL CONTROL
2744,THS HYDRAULIC ACTUATION
2745,THS POSITION INDICATING
2750A,FLAP TRACK
2750B,FLAP OVERSPEED
2750C,F/CTL FLAP
2751,FLAPS ELECTRICAL CONTROL (EFCS)
2754,FLAP HYDR.ACTUATION & POWER TRANSMITION
2755,FLAPS POSITION INDICATING
2760,F/CTL SPLR
2764,SPOILER HYDRAULIC ACTUATION
2780,LIFT AUGMENTING (SLATS)
2781,F/CTL SLAT
2784,SLAT HYDR.ACT & POWER TRANSMITION
2785,SLATS POSITION INDICATING
2790,ELECTRICAL FLIGHT CONTROL SYST.(EFCS)
2792,CONTROL INPUTS INTERFACE & POWER SUPPLY
2793,F/CTL ELAC
2794,F/CTL SEC FCDC
2795,FCDC SYS FLGT CNTRL DATA CONCENTRATOR
2796,VIBRATION
2800,FUEL
2810,STORAGE
2811,TANKS
2812,TANK VENT SYS
2813,WING CENTER TANK EXT.VENT SYS
2815,FUEL XFR VALVE
2816,FUEL RECIRCULATION - COOLING
2818,TANK IGN PREVENTION SYSTEM
2820,REFUEL / DEFUEL SYS
2821,FUEL CTR TANK
2822,APU FUEL PUMP SYSTEM
2823,CROSSFEED SYSTEM
2824,ENGINE LP FUEL SHUT OFF
2825,FUEL CAP
2829,APU LP FUEL SHUT OFF
2840,INDICATING
2842,FQIC QUANTITY IND
2843,MANUAL (MAGNETIC) INDICATORS
2846A,TANK LEVEL SENSING
2846B,FUEL WING TANKS
2846C,FUEL TK HI TEMP
2900,HYDRAULIC POWER
2910,HYDRAULIC LEAK
2911,HYD G SYS
2912,HYD B SYS
2913,HYD Y SYS
2914,HYD  RSRVR PRESS SYS
2916,HYD RSRVR FILLING
2917,SEAL DRAIN SYSTEM
2919,GROUND INTERNAL LEAK TEST SYSTEM
2920,AUXILIARY HYDRAULIC POWER
2922,BLUE AUX.HYDR.PWR -RAM AIR TURBINE
2923,PWR TRANS UNIT
2924,HYDR.PWR -ELECTR/HAND PUMPS
2930,INDICATING
2931,HYD FLUID QUANTITY IND
2932,HYD FLUID PRESS IND
2933,HYD FLUID TEMP IND
2934,RSRVR PRESS IND
3000,ICE AND RAIN PROTECTION
3010,AIRFOIL
3011,ANTI ICE WING
3011,ANTI ICE ENG
3021,ENGINE AIR INTAKES ICE PROTECTION
